net,length_um
net114,79.5µm
_1145_,79.44µm
_4298_,79.42µm
_0047_,79.4µm
_3625_,79.36µm
adder_inst.exp_b_r\[2\],79.3µm
_2800_,79.26µm
net419,79.2µm
_4443_,78.98µm
_2654_,78.7µm
net511,78.1µm
net536,77.88µm
net106,77.03µm
_3382_,76.98µm
_3908_,76.92µm
adder_inst.sum_raw\[0\],76.72µm
net125,76.515µm
net526,76.46µm
adder_inst.exp_a_r\[0\],76.4µm
net116,76.36µm
adder_inst.sum_raw_r\[18\],76.3µm
_1028_,76.24µm
_3171_,76.14µm
net532,76.11µm
_3923_,75.7µm
adder_inst.sum_raw\[19\],75.58µm
_0976_,75.54µm
_0058_,75.46µm
_3201_,75.33µm
_3920_,75.13µm
net158,75.08µm
net586,75.02µm
_3180_,74.99µm
adder_inst.man_a_r\[23\],74.78µm
_3906_,74.64µm
adder_inst.sum_raw\[1\],74.38µm
_0092_,74.08µm
net502,74.02µm
net648,73.97µm
_0091_,73.92µm
_2662_,73.9µm
adder_inst.exp_larger\[0\],73.64µm
_1109_,73.62µm
_3033_,73.495µm
net306,73.46µm
_3031_,73.38µm
_3473_,72.98µm
_2574_,72.67µm
_0714_,72.38µm
_0427_,72.26µm
clknet_leaf_1_clk,71.74µm
_3864_,71.5µm
net655,71.5µm
clknet_leaf_26_clk,71.28µm
adder_inst.sum_raw\[2\],71.24µm
_4077_,70.92µm
_1144_,70.82µm
net182,70.755µm
adder_inst.exp_b_r\[3\],70.5µm
clknet_leaf_18_clk,70.06µm
adder_inst.exp_larger_r\[6\],69.98µm
_2641_,69.8µm
net154,69.425µm
_3358_,69.3µm
_0089_,69.28µm
_4163_,68.68µm
clknet_leaf_30_clk,68.64µm
_3937_,68.56µm
_1446_,68.52µm
mul_res\[14\],68.04µm
_4558_,68.02µm
net556,68µm
adder_inst.man_b_r\[22\],67.66µm
_1593_,67.34µm
_4391_,67.26µm
net500,67.115µm
adder_inst.man_b_r\[7\],67.085µm
adder_inst.sum_raw\[18\],67.02µm
_1872_,66.56µm
_3704_,66µm
_1777_,65.87µm
net136,65.76µm
_3273_,65.73µm
_4461_,65.72µm
_0740_,65.56µm
_3361_,65.34µm
_1697_,65.13µm
_3030_,65.12µm
net372,65.06µm
net149,65.02µm
adder_inst.exp_larger_r\[4\],65µm
adder_inst.sum_raw_r\[17\],64.98µm
_3207_,64.82µm
adder_inst.man_a_r\[10\],64.8µm
_3312_,64.7µm
_3874_,64.6µm
adder_inst.exp_larger\[2\],64.38µm
_1147_,64.34µm
_3034_,64.24µm
net516,64.24µm
_1133_,64.06µm
adder_inst.exp_larger_r\[5\],63.8µm
_1445_,63.52µm
_4078_,63.48µm
_3481_,63.42µm
_0627_,63.16µm
_3987_,63.15µm
_3151_,63.12µm
_1030_,63.1µm
multiplier_inst.is_zero_r,63.06µm
_1554_,62.96µm
_4341_,62.93µm
_3469_,62.92µm
_3445_,62.81µm
adder_inst.is_zero_r,62.665µm
_3446_,62.62µm
net509,62.38µm
adder_inst.man_a_r\[5\],62.18µm
net133,61.99µm
net135,61.3µm
_1993_,61.1µm
_1856_,61µm
net107,60.6µm
_3767_,60.24µm
_1712_,59.92µm
_0061_,59.88µm
net141,59.76µm
_3406_,59.715µm
clknet_leaf_7_clk,59.66µm
_1673_,59.64µm
_3871_,59.33µm
net478,59.16µm
_4090_,59.04µm
_3929_,59.02µm
_1372_,58.82µm
net111,58.78µm
adder_inst.man_a\[23\],58.56µm
multiplier_inst.man_final\[0\],58.52µm
_3728_,58.28µm
_3333_,58.02µm
_3029_,57.92µm
_1908_,57.78µm
_3939_,57.72µm
_1935_,57.56µm
net194,57.25µm
_2739_,57.16µm
_1671_,56.92µm
adder_inst.sum_raw_r\[21\],56.91µm
_4068_,56.82µm
_3628_,56.7µm
_0638_,56.66µm
_2139_,56.41µm
adder_inst.sum_raw\[3\],56.345µm
_3858_,56.16µm
_1137_,56.04µm
_3025_,55.86µm
adder_inst.man_b_r\[21\],55.8µm
net443,55.68µm
adder_inst.man_a_r\[20\],55.58µm
net157,55.38µm
mul_res\[15\],55.3µm
_4474_,55.06µm
_1780_,54.9µm
_2255_,54.8µm
_3395_,54.78µm
_3493_,54.68µm
net144,54.56µm
adder_inst.i_a\[1\],54.52µm
_2367_,54.48µm
_2481_,54.48µm
_0741_,54.32µm
net339,54.32µm
_2894_,54.24µm
_2249_,54.1µm
_2773_,54.095µm
_1072_,53.84µm
_3997_,53.82µm
_2749_,53.79µm
_2799_,53.695µm
_3257_,53.4µm
net530,53.04µm
_2887_,52.94µm
_3085_,52.85µm
_4093_,52.7µm
adder_inst.man_a_r\[9\],52.68µm
net172,52.63µm
_3775_,52.52µm
_2064_,52.5µm
_4296_,52.4µm
net522,52.38µm
_4190_,52.34µm
_1019_,52.32µm
_3791_,52.3µm
adder_inst.sum_raw\[5\],51.84µm
clknet_leaf_6_clk,51.74µm
_0807_,51.72µm
adder_inst.man_a_r\[8\],51.64µm
net649,51.6µm
_3388_,51.52µm
_3774_,51.5µm
_2965_,51.34µm
_3823_,51.26µm
net656,51.24µm
_0801_,51.16µm
_4207_,51.14µm
_4477_,51µm
_0440_,50.96µm
_3888_,50.88µm
_1134_,50.78µm
_1562_,50.52µm
net562,50.49µm
_0794_,50.44µm
_3826_,50.4µm
_2280_,50.28µm
net471,50.28µm
_2936_,50.2µm
_3035_,50.07µm
_2818_,50.04µm
_4357_,50.04µm
net599,50.02µm
_4203_,49.98µm
adder_inst.sum_raw\[16\],49.98µm
_3394_,49.96µm
_4302_,49.86µm
_3831_,49.58µm
_4399_,49.58µm
net440,49.58µm
_3059_,49.56µm
_3173_,49.52µm
_1040_,49.46µm
adder_inst.sum_raw\[17\],49.36µm
_2236_,49.34µm
_1128_,49.26µm
_3134_,49.16µm
_1352_,49.08µm
net150,49.08µm
adder_inst.sum_raw\[4\],48.86µm
_0065_,48.7µm
adder_inst.man_b_r\[5\],48.62µm
_1787_,48.54µm
net544,48.52µm
net659,48.36µm
_4270_,48.28µm
_2080_,48.26µm
_2738_,48.25µm
_4450_,48.18µm
_1735_,48.17µm
_1411_,48.06µm
_3884_,47.94µm
multiplier_inst.man_final\[2\],47.92µm
_1844_,47.89µm
multiplier_inst.man_final\[8\],47.705µm
_1373_,47.7µm
_1547_,47.68µm
_3313_,47.66µm
_1472_,47.6µm
_3341_,47.48µm
_1543_,47.34µm
_3770_,47.24µm
_1924_,47.16µm
_2000_,47µm
_4216_,46.92µm
net514,46.84µm
_0437_,46.72µm
_3244_,46.68µm
_3979_,46.58µm
_1013_,46.49µm
_1544_,46.42µm
adder_inst.exp_a\[7\],46.42µm
_2622_,46.4µm
adder_inst.i_b\[0\],46.32µm
_3709_,46.24µm
_4106_,46.24µm
_2156_,46.2µm
multiplier_inst.man_final\[7\],46.2µm
_2482_,45.98µm
_1466_,45.96µm
_3037_,45.9µm
_3213_,45.87µm
_2487_,45.86µm
_4393_,45.7µm
_2548_,45.66µm
_3919_,45.64µm
_3235_,45.56µm
net130,45.48µm
_0960_,45.43µm
_2508_,45.42µm
_2806_,45.36µm
_1138_,45.18µm
_1405_,45.16µm
_1116_,45.14µm
_3413_,44.915µm
_1656_,44.8µm
net572,44.66µm
_2065_,44.65µm
_1407_,44.64µm
_2509_,44.64µm
_2886_,44.54µm
_1132_,44.4µm
adder_inst.exp_a_r\[2\],44.395µm
_1120_,44.34µm
_2212_,44.21µm
_0063_,44.14µm
_0769_,44.06µm
_0752_,43.98µm
_3773_,43.855µm
_4133_,43.8µm
_0749_,43.74µm
_1193_,43.72µm
multiplier_inst.man_final\[18\],43.64µm
_3966_,43.62µm
_4099_,43.62µm
_3977_,43.58µm
_2360_,43.56µm
multiplier_inst.man_final\[4\],43.56µm
_1121_,43.54µm
_2484_,43.54µm
adder_inst.man_b_r\[18\],43.5µm
_3238_,43.295µm
_1503_,43.26µm
_1701_,43.24µm
net654,43.24µm
_3132_,43.2µm
_1209_,43.18µm
_2257_,43.1µm
adder_inst.man_b_r\[15\],43.08µm
_4003_,43.06µm
_1964_,43.02µm
_3679_,43.01µm
_3656_,42.92µm
_3956_,42.84µm
_0911_,42.8µm
_3499_,42.76µm
net103,42.72µm
_3729_,42.58µm
_1676_,42.56µm
_0889_,42.46µm
_1412_,42.46µm
_4224_,42.44µm
_4250_,42.38µm
_0759_,42.2µm
_2638_,42.16µm
_2952_,42.06µm
_1811_,42.02µm
_1705_,41.96µm
adder_inst.exp_a_r\[1\],41.9µm
mul_res\[23\],41.9µm
_3303_,41.79µm
adder_inst.exp_a_r\[3\],41.72µm
_2176_,41.68µm
_3387_,41.6µm
_4521_,41.56µm
_2964_,41.52µm
_1994_,41.48µm
adder_inst.exp_b\[3\],41.47µm
_1355_,41.44µm
_2872_,41.39µm
_3698_,41.38µm
_3707_,41.2µm
_0968_,41.13µm
_3328_,41.095µm
_2195_,41µm
_2873_,40.96µm
_3472_,40.92µm
_1749_,40.82µm
_3716_,40.82µm
_3844_,40.79µm
_0737_,40.76µm
_2909_,40.76µm
_2955_,40.74µm
_3006_,40.66µm
_4343_,40.62µm
_0662_,40.6µm
net851,40.6µm
_0649_,40.54µm
net112,40.5µm
_3876_,40.49µm
_2117_,40.38µm
_2830_,40.36µm
_3232_,40.2µm
_0481_,40.18µm
_3788_,40.15µm
_1065_,40.14µm
_4290_,40.04µm
_3948_,40.02µm
_3877_,39.945µm
_2896_,39.88µm
_4103_,39.88µm
_4480_,39.88µm
_1909_,39.82µm
adder_inst.exp_b_r\[4\],39.76µm
_0743_,39.72µm
_1319_,39.72µm
_3941_,39.7µm
_0789_,39.68µm
net126,39.64µm
_3777_,39.6µm
multiplier_inst.man_final\[6\],39.6µm
_1515_,39.59µm
_2411_,39.58µm
_1677_,39.57µm
_1387_,39.55µm
_1500_,39.54µm
net833,39.54µm
_4004_,39.44µm
_2931_,39.42µm
_0688_,39.28µm
_3905_,39.24µm
_0471_,39.22µm
_2694_,39.14µm
net110,39.08µm
_2107_,39µm
net3,38.82µm
_3855_,38.8µm
net613,38.735µm
_4199_,38.72µm
_1104_,38.66µm
adder_inst.exp_b_r\[5\],38.4µm
_1050_,38.38µm
_3648_,38.38µm
_4041_,38.36µm
_3005_,38.14µm
_0917_,38.12µm
_1555_,38.1µm
_1954_,38.02µm
_3814_,37.98µm
_4476_,37.94µm
_0755_,37.92µm
_2940_,37.86µm
_0774_,37.74µm
_1962_,37.72µm
_4021_,37.7µm
_2148_,37.68µm
_1941_,37.67µm
_1836_,37.58µm
net163,37.54µm
net50,37.52µm
multiplier_inst.man_final_r\[17\],37.4µm
_2225_,37.38µm
net618,37.36µm
_2338_,37.32µm
_3421_,37.28µm
_3415_,37.22µm
_4087_,37.135µm
_4543_,37.06µm
_3693_,37µm
_0648_,36.98µm
_0658_,36.98µm
_1532_,36.92µm
_3994_,36.88µm
_4254_,36.88µm
