net,length_um
net1847,131.89µm
net2020,131.88µm
_05583_,131.78µm
adder_inst.sum_raw_r\[16\],131.33µm
net1376,131.08µm
net1823,130.89µm
_06910_,130.12µm
_06924_,129.95µm
net1690,129.68µm
multiplier_inst.man_final_r\[22\],129.62µm
net114,129.48µm
net2061,129.07µm
net1427,129µm
_00447_,128.98µm
net1030,128.84µm
net544,128.8µm
net1999,128.56µm
net504,128.49µm
_05321_,128.02µm
net1265,127.9µm
adder_inst.man_a_r\[19\],127.7µm
net774,127.64µm
net1348,127.4µm
_06901_,126.99µm
net1254,126.85µm
net1377,126.84µm
adder_inst.exp_larger\[3\],126.8µm
net773,126.71µm
net962,126.46µm
net1267,126.42µm
net2519,126.35µm
net2271,126.16µm
net2235,125.9µm
net2300,125.86µm
net1087,125.83µm
net1104,125.69µm
_06885_,125.33µm
net1269,124.96µm
net734,124.885µm
net2395,124.63µm
net1853,124.62µm
net487,124.57µm
net2849,123.92µm
net2848,123.79µm
net1245,123.71µm
net2119,123.68µm
net2167,123.6µm
net2781,123.49µm
net109,123.39µm
net1511,123.11µm
net1761,123µm
adder_inst.man_a_r\[23\],122.98µm
net2194,122.88µm
net2247,122.86µm
net1944,122.85µm
adder_inst.sum_raw_r\[14\],122.65µm
net1426,122.64µm
adder_inst.sum_raw_r\[6\],121.95µm
net155,121.88µm
net1743,121.87µm
net1120,121.78µm
_01129_,121.74µm
net1412,121.7µm
net1164,121.51µm
_05528_,121.23µm
net2304,121.21µm
net1186,121.05µm
net2598,121.05µm
net1545,120.81µm
net1632,120.7µm
_01286_,120.64µm
net1141,120.195µm
net2819,120.17µm
net1237,120.07µm
net1709,119.74µm
net1586,119.67µm
net2439,119.63µm
_05530_,119.59µm
net3178,119.49µm
net1769,119.46µm
net1977,119.41µm
_05687_,119.27µm
net1092,119.15µm
net1402,119µm
net161,118.95µm
net2209,118.78µm
net2597,118.27µm
net1755,117.99µm
net541,117.78µm
net765,117.56µm
adder_inst.man_b_r\[4\],117.52µm
net2613,117.51µm
net1106,117.41µm
net1190,116.98µm
net1539,116.85µm
_00064_,116.84µm
net1112,116.81µm
_00036_,116.56µm
net254,116.465µm
net2143,116.3µm
net2450,116.28µm
net1349,116.21µm
net1538,116.01µm
net1576,116.01µm
net2147,116µm
net2253,115.82µm
net2695,115.82µm
net1919,115.52µm
clknet_leaf_18_clk,115.4µm
_06127_,115.29µm
net1272,115.145µm
net1518,114.93µm
net1696,114.34µm
net1667,114.1µm
adder_inst.sum_raw\[13\],114.04µm
net2249,113.87µm
net1531,113.74µm
adder_inst.i_a\[15\],113.39µm
net856,113.38µm
net1561,113.1µm
net1226,112.91µm
net1934,112.86µm
_06153_,112.77µm
net1113,112.69µm
net1776,112.65µm
net1159,112.48µm
net1648,112.48µm
net2912,111.92µm
_05605_,111.8µm
net1513,111.57µm
net2208,111.51µm
net1828,111.43µm
net2550,111.29µm
net2462,111.25µm
net2917,111.18µm
net2217,111.04µm
net528,110.77µm
net1496,110.56µm
net1150,110.42µm
net2510,110.36µm
_05290_,110.17µm
net2077,110.04µm
adder_inst.man_b_r\[23\],109.9µm
net2715,109.78µm
net2336,109.69µm
net959,109.54µm
net2320,109.48µm
net2138,109.44µm
net1633,109.415µm
net547,109.35µm
net1872,108.88µm
net312,108.73µm
_00063_,108.58µm
net1989,108.535µm
net1630,108.53µm
_05576_,108.36µm
net958,108.31µm
net1869,108.26µm
net782,108.07µm
net2949,107.78µm
_04828_,107.75µm
net1852,107.58µm
net1679,107.54µm
net1255,107.44µm
adder_inst.exp_larger\[6\],107.36µm
net1615,107.33µm
net1838,107.3µm
net337,107.26µm
net2520,107.16µm
adder_inst.man_a_r\[16\],106.91µm
net1578,106.77µm
_06126_,106.72µm
net1660,106.7µm
net2567,106.7µm
_06118_,106.64µm
net2393,106.38µm
net310,106.35µm
net2380,106.25µm
_01732_,106.16µm
net2596,106.12µm
net2069,106.1µm
net1567,106.06µm
net2531,105.83µm
net1675,105.82µm
net2241,105.78µm
net2418,105.68µm
net2298,105.62µm
_03401_,105.58µm
net913,105.55µm
net972,105.46µm
net2800,105.3µm
net2379,105.04µm
net152,104.99µm
adder_inst.man_a_r\[20\],104.98µm
net778,104.94µm
net2234,104.94µm
net1093,104.87µm
net284,104.66µm
net1274,104.495µm
net415,104.29µm
net1857,104.185µm
net1722,104.14µm
net1223,104.08µm
_01394_,103.86µm
net1181,103.72µm
net767,103.58µm
net1932,103.56µm
net2778,103.52µm
net1090,103.03µm
net2556,102.88µm
