net,length_um
adder_inst.exp_a\[7\],35.36µm
_01559_,35.32µm
_06351_,35.32µm
mul_res\[21\],35.26µm
_05000_,35.24µm
_01218_,35.22µm
_04181_,35.2µm
_03838_,35.1µm
_03610_,34.94µm
_04311_,34.92µm
_03162_,34.9µm
_06493_,34.86µm
_01044_,34.82µm
_05294_,34.7µm
_05022_,34.66µm
_06362_,34.66µm
net23,34.58µm
_03258_,34.53µm
_00978_,34.48µm
_01710_,34.46µm
_06711_,34.42µm
_06515_,34.38µm
_00947_,34.32µm
_06748_,34.2µm
_06698_,34.18µm
_07868_,34.12µm
_00438_,34.1µm
_00952_,34.02µm
_06112_,34µm
_02037_,33.98µm
net302,33.94µm
adder_inst.exp_a_r\[3\],33.88µm
_05262_,33.84µm
_04083_,33.76µm
adder_inst.exp_a\[1\],33.74µm
_06186_,33.735µm
_00591_,33.68µm
_02356_,33.67µm
_02035_,33.64µm
_06048_,33.62µm
_06386_,33.58µm
_06191_,33.56µm
adder_inst.i_b\[11\],33.5µm
_01141_,33.48µm
_07128_,33.38µm
_03644_,33.34µm
_01544_,33.32µm
_04021_,33.28µm
_05145_,33.28µm
_04160_,33.26µm
_07703_,33.2µm
_06049_,33.13µm
_06819_,33.1µm
adder_inst.man_b_r\[6\],33.06µm
_01657_,33µm
_06344_,32.96µm
_02355_,32.94µm
_06213_,32.94µm
_01230_,32.86µm
_07794_,32.86µm
_00994_,32.72µm
_01126_,32.72µm
_02695_,32.72µm
_06646_,32.62µm
_01097_,32.58µm
_07845_,32.58µm
_04407_,32.56µm
_01951_,32.54µm
adder_inst.exp_b\[0\],32.54µm
adder_inst.is_zero_b,32.54µm
_06615_,32.48µm
_06877_,32.44µm
_00502_,32.43µm
_06681_,32.4µm
net363,32.3µm
_06671_,32.28µm
net366,32.28µm
_02745_,32.26µm
_01015_,32.2µm
_01830_,32.18µm
_02665_,32.16µm
_03165_,32.16µm
_05738_,32.16µm
adder_inst.sum_raw\[18\],32.16µm
_05807_,32.02µm
_06483_,32.02µm
_01129_,32.015µm
_01885_,32µm
_06737_,32µm
_04613_,31.98µm
_05775_,31.96µm
_02399_,31.94µm
_00517_,31.92µm
_03395_,31.92µm
_06741_,31.9µm
_01593_,31.88µm
_02331_,31.88µm
_05219_,31.84µm
_01222_,31.82µm
adder_inst.man_b_r\[14\],31.8µm
_01867_,31.72µm
_02060_,31.72µm
_06136_,31.71µm
_00904_,31.68µm
_05289_,31.66µm
_07579_,31.66µm
