net,length_um
net288,91.075µm
net493,90.86µm
net353,90.78µm
adder_inst.sum_raw_r\[0\],90.605µm
net376,90µm
_3680_,89.7µm
net503,89.685µm
net128,89.67µm
_3365_,89.54µm
net551,89.18µm
net316,88.92µm
net131,88.38µm
_1148_,88.26µm
net126,88.13µm
adder_inst.exp_larger\[3\],88.12µm
net190,87.52µm
net531,87.31µm
net522,86.88µm
net532,86.78µm
clknet_leaf_16_clk,86.72µm
adder_inst.sum_raw_r\[9\],86.585µm
adder_inst.man_b_r\[16\],86.48µm
_3162_,86.46µm
net496,86.065µm
clknet_leaf_7_clk,85.88µm
_3473_,85.73µm
net149,85.66µm
net521,85.58µm
net129,85.18µm
multiplier_inst.man_final_r\[22\],85.13µm
net356,85.06µm
_2367_,84.94µm
_3430_,84.71µm
net161,84.7µm
_2575_,84.65µm
net359,84.14µm
_4370_,83.99µm
net289,83.88µm
_1602_,83.26µm
net189,83.18µm
net516,83.06µm
net183,82.9µm
_0058_,82.88µm
adder_inst.i_a\[21\],82.88µm
net342,82.52µm
adder_inst.exp_larger_r\[3\],82.51µm
adder_inst.exp_b_r\[1\],82.425µm
_3446_,82.245µm
adder_inst.sum_raw_r\[7\],82.06µm
net352,81.835µm
adder_inst.exp_larger\[1\],81.7µm
net282,81.17µm
net541,81.12µm
net304,80.67µm
_3187_,80.32µm
net144,80.12µm
net169,79.925µm
net397,79.92µm
adder_inst.exp_larger\[2\],79.86µm
_0036_,79.175µm
net275,78.65µm
_3153_,78.42µm
_1492_,78.32µm
_3463_,77.985µm
net546,77.84µm
_3160_,77.76µm
_3998_,77.73µm
_3858_,77.62µm
net188,77.56µm
net147,77.14µm
net187,76.96µm
net136,76.71µm
net178,76.65µm
_3969_,76.4µm
net528,76.38µm
_4114_,76.195µm
net457,76.14µm
_3383_,76.02µm
net117,75.8µm
net538,75.8µm
_4059_,75.62µm
net509,75.6µm
adder_inst.exp_b_r\[0\],75.28µm
adder_inst.sum_raw_r\[8\],75.26µm
adder_inst.exp_b_r\[2\],75.02µm
adder_inst.is_nan_b_r,74.53µm
adder_inst.exp_larger_r\[1\],74.31µm
adder_inst.i_a\[19\],74.21µm
net5,73.76µm
_3950_,73.32µm
net137,73.32µm
net519,73.12µm
_0067_,72.94µm
net547,72.88µm
_3369_,72.66µm
net138,72.395µm
net160,72.08µm
net495,71.7µm
_3699_,71.66µm
adder_inst.exp_b_r\[3\],71.5µm
net122,71.49µm
_3904_,71.3µm
net535,71.12µm
net514,71µm
net341,70.965µm
net545,70.94µm
_3197_,70.9µm
net323,70.42µm
clknet_leaf_15_clk,70.36µm
net518,70.08µm
_0976_,70.04µm
adder_inst.man_a_r\[6\],69.82µm
