Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_140_189,VPWR,li1,93.8400,394.4000,1.799980
FILLER_140_177,VPWR,li1,89.7000,394.4000,1.799981
FILLER_140_165,VPWR,li1,84.1800,394.4000,1.799982
FILLER_140_153,VPWR,li1,78.6600,394.4000,1.799983
FILLER_140_141,VPWR,li1,73.1400,394.4000,1.799985
FILLER_140_139,VPWR,li1,69.6900,394.4000,1.799986
FILLER_140_133,VPWR,li1,68.0800,394.4000,1.799986
FILLER_140_121,VPWR,li1,63.9400,394.4000,1.799987
FILLER_140_109,VPWR,li1,58.4200,394.4000,1.799989
FILLER_140_97,VPWR,li1,52.9000,394.4000,1.799990
FILLER_140_85,VPWR,li1,47.3800,394.4000,1.799991
FILLER_140_83,VPWR,li1,43.9300,394.4000,1.799992
FILLER_140_77,VPWR,li1,42.3200,394.4000,1.799992
FILLER_140_65,VPWR,li1,38.1800,394.4000,1.799993
FILLER_140_53,VPWR,li1,32.6600,394.4000,1.799995
FILLER_140_41,VPWR,li1,27.1400,394.4000,1.799996
FILLER_140_29,VPWR,li1,21.6200,394.4000,1.799998
FILLER_140_27,VPWR,li1,18.1700,394.4000,1.799998
FILLER_140_15,VPWR,li1,15.1800,394.4000,1.799998
FILLER_140_3,VPWR,li1,9.6600,394.4000,1.799998
FILLER_139_841,VPWR,li1,393.7600,388.9600,1.799911
FILLER_139_839,VPWR,li1,391.6900,388.9600,1.799911
FILLER_139_833,VPWR,li1,390.0800,388.9600,1.799911
FILLER_139_821,VPWR,li1,385.9400,388.9600,1.799911
FILLER_139_809,VPWR,li1,380.4200,388.9600,1.799911
FILLER_139_797,VPWR,li1,374.9000,388.9600,1.799911
FILLER_139_785,VPWR,li1,369.3800,388.9600,1.799911
FILLER_139_783,VPWR,li1,365.9300,388.9600,1.799911
FILLER_139_777,VPWR,li1,364.3200,388.9600,1.799911
FILLER_139_765,VPWR,li1,360.1800,388.9600,1.799911
FILLER_139_753,VPWR,li1,354.6600,388.9600,1.799911
FILLER_139_741,VPWR,li1,349.1400,388.9600,1.799911
FILLER_139_729,VPWR,li1,343.6200,388.9600,1.799911
FILLER_139_726,VPWR,li1,339.9400,388.9600,1.799911
FILLER_139_714,VPWR,li1,336.7200,388.9600,1.799911
FILLER_139_702,VPWR,li1,331.2000,388.9600,1.799911
